,year,month,day,num1,num2,num3,num4,num5,num6,numzz
515,1965,08,29,2,16,17,38,39,44,
516,1965,09,04,13,21,35,36,45,46,
517,1965,09,11,13,19,21,25,31,37,
518,1965,09,18,8,31,37,38,42,43,
519,1965,09,25,4,8,15,17,44,48,
520,1965,10,02,2,11,17,33,34,38,
521,1965,10,09,12,15,22,24,32,34,
522,1965,10,16,6,9,22,31,35,36,
523,1965,10,23,2,15,24,32,39,44,
524,1965,10,30,6,9,18,26,46,48,
525,1965,11,06,2,5,18,23,40,47,
526,1965,11,13,6,14,35,43,44,46,
527,1965,11,20,6,17,20,36,45,48,
528,1965,11,27,8,21,24,27,42,44,
529,1965,12,04,1,12,13,14,33,48,
530,1965,12,11,10,15,32,41,42,48,
531,1965,12,18,11,20,23,29,33,48,
532,1965,12,25,5,21,25,35,36,48,
533,1966,01,01,6,20,24,30,39,47,
534,1966,01,08,5,9,10,20,37,46,
535,1966,01,15,8,19,28,36,39,40,
536,1966,01,22,5,25,30,36,38,49,
537,1966,01,29,5,8,29,32,39,47,
538,1966,02,05,1,2,8,19,26,39,
539,1966,02,12,19,33,34,41,42,46,
540,1966,02,19,3,7,18,39,44,47,
541,1966,02,26,9,24,29,30,34,45,
542,1966,03,05,7,10,16,24,29,44,
543,1966,03,12,28,29,30,34,44,46,
544,1966,03,19,8,14,19,38,41,43,
545,1966,03,26,5,22,27,30,40,44,
546,1966,04,02,2,6,21,29,37,39,
547,1966,04,09,15,25,26,28,39,41,
548,1966,04,16,6,15,20,26,28,30,
549,1966,04,23,19,26,36,40,41,42,
550,1966,04,30,8,21,34,35,39,43,
551,1966,05,07,1,4,8,19,31,39,
552,1966,05,14,5,9,20,22,36,49,
553,1966,05,21,5,17,30,35,45,49,
554,1966,05,28,9,31,36,37,40,45,
555,1966,06,04,4,8,23,31,45,48,
556,1966,06,11,2,3,6,12,19,22,
557,1966,06,18,4,5,20,27,33,45,
558,1966,06,25,17,18,21,24,33,34,
559,1966,07,02,19,28,33,36,38,46,
560,1966,07,09,15,21,28,36,37,42,
561,1966,07,16,11,22,39,41,43,49,
562,1966,07,23,5,10,12,26,33,47,
563,1966,07,30,4,10,12,32,37,41,
564,1966,08,06,1,7,23,38,40,49,
565,1966,08,13,3,23,24,27,34,40,
566,1966,08,20,5,10,30,38,45,47,
567,1966,08,27,5,12,18,25,40,48,
568,1966,09,03,6,12,21,33,42,43,
569,1966,09,10,16,21,27,28,34,49,
570,1966,09,17,14,21,24,28,38,48,
571,1966,09,24,1,14,16,26,35,44,
572,1966,10,01,10,14,16,21,23,45,
573,1966,10,08,13,28,31,33,34,35,
574,1966,10,15,4,20,28,35,40,44,
575,1966,10,22,1,6,13,17,42,44,
576,1966,10,29,29,35,37,39,42,44,
577,1966,11,05,11,18,25,42,43,46,
578,1966,11,12,1,13,16,27,33,49,
579,1966,11,19,8,18,22,27,29,45,
580,1966,11,26,9,17,30,33,42,43,
581,1966,12,03,5,10,11,12,17,41,
582,1966,12,10,5,8,29,34,45,49,
583,1966,12,17,18,21,38,39,40,41,
584,1966,12,25,10,15,16,19,21,32,
585,1967,01,01,2,20,33,40,41,43,
586,1967,01,07,4,12,18,21,31,32,
587,1967,01,14,2,5,6,7,22,47,
588,1967,01,21,4,10,17,31,36,44,
